tbl;Year;quarter;citymarketid_1;citymarketid_2;city1;city2;airportid_1;airportid_2;airport_1;airport_2;nsmiles;passengers;fare;carrier_lg;large_ms;fare_lg;carrier_low;lf_ms;fare_low;tbl1apk;Columna2;Columna1
Table1a;2021;3;30647;32575;Cleveland, OH (Metropolitan Area);Los Angeles, CA (Metropolitan Area);10874;12954;CAK;LGB;2073;0;36967;AA;10000;36967;AA;10000;36967;202131087412954CAKLGB;;
Table1a;2021;3;30647;32575;Cleveland, OH (Metropolitan Area);Los Angeles, CA (Metropolitan Area);10874;13891;CAK;ONT;2073;2;37501;AA;10000;37501;AA;10000;37501;202131087413891CAKONT;;
Table1a;2021;3;30647;32575;Cleveland, OH (Metropolitan Area);Los Angeles, CA (Metropolitan Area);10874;14908;CAK;SNA;2073;2;35318;UA;8500;36739;AA;1500;27267;202131087414908CAKSNA;;
Table1a;2021;3;30647;32575;Cleveland, OH (Metropolitan Area);Los Angeles, CA (Metropolitan Area);11042;10800;CLE;BUR;2073;26;31531;WN;5787;28581;WN;5787;28581;202131104210800CLEBUR;;
Table1a;2021;3;30647;32575;Cleveland, OH (Metropolitan Area);Los Angeles, CA (Metropolitan Area);11042;12892;CLE;LAX;2073;673;24080;UA;4508;29298;NK;3193;12773;202131104212892CLELAX;;
Table1a;2021;3;30647;32575;Cleveland, OH (Metropolitan Area);Los Angeles, CA (Metropolitan Area);11042;12954;CLE;LGB;2073;15;23436;WN;8309;21743;WN;8309;21743;202131104212954CLELGB;;
Table1a;2021;3;30647;32575;Cleveland, OH (Metropolitan Area);Los Angeles, CA (Metropolitan Area);11042;13891;CLE;ONT;2073;46;30112;AA;3943;29931;WN;3444;27768;202131104213891CLEONT;;
Table1a;2021;3;30647;32575;Cleveland, OH (Metropolitan Area);Los Angeles, CA (Metropolitan Area);11042;14908;CLE;SNA;2073;82;32511;UA;3108;34629;WN;2712;27013;202131104214908CLESNA;;
Table1a;2021;3;30647;33195;Cleveland, OH (Metropolitan Area);Tampa, FL (Metropolitan Area);10874;15304;CAK;TPA;932;26;20448;AA;8536;20931;UA;1381;17568;202131087415304CAKTPA;;
Table1a;2021;3;30647;33195;Cleveland, OH (Metropolitan Area);Tampa, FL (Metropolitan Area);11042;14112;CLE;PIE;932;35;7517;G4;10000;7517;G4;10000;7517;202131104214112CLEPIE;;
Table1a;2021;3;30647;33195;Cleveland, OH (Metropolitan Area);Tampa, FL (Metropolitan Area);11042;15304;CLE;TPA;932;491;11902;F9;3513;8705;NK;2538;8368;202131104215304CLETPA;;
Table1a;2021;3;30647;33570;Cleveland, OH (Metropolitan Area);San Diego, CA;10874;14679;CAK;SAN;2045;10;37436;AA;4891;31187;AA;4891;31187;202131087414679CAKSAN;;
Table1a;2021;3;30647;33570;Cleveland, OH (Metropolitan Area);San Diego, CA;11042;14679;CLE;SAN;2045;199;30127;UA;2810;34090;WN;2674;27954;202131104214679CLESAN;;
Table1a;2021;3;30647;34100;Cleveland, OH (Metropolitan Area);Philadelphia, PA;10874;14100;CAK;PHL;363;2;16721;UA;7857;17673;AA;2143;13233;202131087414100CAKPHL;;
Table1a;2021;3;30647;34100;Cleveland, OH (Metropolitan Area);Philadelphia, PA;11042;14100;CLE;PHL;363;198;21676;AA;9290;21824;UA;352;17951;202131104214100CLEPHL;;
Table1a;2021;3;30647;34986;Cleveland, OH (Metropolitan Area);Sarasota/Bradenton, FL;10874;14986;CAK;SRQ;967;16;17880;AA;8231;17826;AA;8231;17826;202131087414986CAKSRQ;;
Table1a;2021;3;30647;34986;Cleveland, OH (Metropolitan Area);Sarasota/Bradenton, FL;11042;14986;CLE;SRQ;967;161;13365;F9;2765;8142;F9;2765;8142;202131104214986CLESRQ;;
Table1a;2021;3;30693;30466;Nashville, TN;Phoenix, AZ;10693;14107;BNA;PHX;1449;707;23034;WN;7142;22553;WN;7142;22553;202131069314107BNAPHX;;
Table1a;2021;3;30693;30852;Nashville, TN;Washington, DC (Metropolitan Area);10693;10821;BNA;BWI;587;525;18248;WN;9305;18120;WN;9305;18120;202131069310821BNABWI;;
Table1a;2021;3;30693;30852;Nashville, TN;Washington, DC (Metropolitan Area);10693;11278;BNA;DCA;587;600;17270;WN;6039;16224;WN;6039;16224;202131069311278BNADCA;;
Table1a;2021;3;30693;30852;Nashville, TN;Washington, DC (Metropolitan Area);10693;12264;BNA;IAD;587;175;19978;UA;8934;19969;WN;267;15399;202131069312264BNAIAD;;
Table1a;2021;3;30693;31703;Nashville, TN;New York City, NY (Metropolitan Area);10693;11618;BNA;EWR;803;729;17441;UA;8666;18118;NK;1049;9705;202131069311618BNAEWR;;
Table1a;2021;3;30693;31703;Nashville, TN;New York City, NY (Metropolitan Area);10693;12197;BNA;HPN;803;9;23613;AA;5190;22798;AA;5190;22798;202131069312197BNAHPN;;
Table1a;2021;3;30693;31703;Nashville, TN;New York City, NY (Metropolitan Area);10693;12391;BNA;ISP;803;105;18416;WN;9917;18380;WN;9917;18380;202131069312391BNAISP;;
Table1a;2021;3;30693;31703;Nashville, TN;New York City, NY (Metropolitan Area);10693;12478;BNA;JFK;803;283;18445;DL;5503;20421;B6;3989;15788;202131069312478BNAJFK;;
Table1a;2021;3;30693;31703;Nashville, TN;New York City, NY (Metropolitan Area);10693;12953;BNA;LGA;803;1062;17281;DL;3935;20049;NK;1109;9898;202131069312953BNALGA;;
Table1a;2021;3;30693;31703;Nashville, TN;New York City, NY (Metropolitan Area);10693;15070;BNA;SWF;803;1;23072;AA;10000;23072;AA;10000;23072;202131069315070BNASWF;;
Table1a;2021;3;30693;32457;Nashville, TN;San Francisco, CA (Metropolitan Area);10693;13796;BNA;OAK;1969;220;25551;WN;9339;25774;NK;178;10225;202131069313796BNAOAK;;
Table1a;2021;3;30693;32457;Nashville, TN;San Francisco, CA (Metropolitan Area);10693;14771;BNA;SFO;1969;261;29586;UA;5736;29980;WN;1360;24465;202131069314771BNASFO;;
Table1a;2021;3;30693;32457;Nashville, TN;San Francisco, CA (Metropolitan Area);10693;14831;BNA;SJC;1969;192;23909;WN;7534;23893;AS;465;18554;202131069314831BNASJC;;
Table1a;2021;3;30693;33195;Nashville, TN;Tampa, FL (Metropolitan Area);10693;14112;BNA;PIE;612;45;8191;G4;10000;8191;G4;10000;8191;202131069314112BNAPIE;;
Table1a;2021;3;30693;33195;Nashville, TN;Tampa, FL (Metropolitan Area);10693;15304;BNA;TPA;612;551;17238;WN;7936;16679;WN;7936;16679;202131069315304BNATPA;;
Table1a;2021;3;30713;30194;Boise, ID;Dallas/Fort Worth, TX;10713;11259;BOI;DAL;1282;47;17677;WN;9562;17635;WN;9562;17635;202131071311259BOIDAL;;
Table1a;2021;3;30713;30194;Boise, ID;Dallas/Fort Worth, TX;10713;11298;BOI;DFW;1282;197;19554;AA;8127;19315;AA;8127;19315;202131071311298BOIDFW;;
Table1a;2021;3;30713;30466;Boise, ID;Phoenix, AZ;10713;10466;BOI;AZA;749;13;8321;G4;10000;8321;G4;10000;8321;202131071310466BOIAZA;;
Table1a;2021;3;30713;30466;Boise, ID;Phoenix, AZ;10713;14107;BOI;PHX;749;415;12966;WN;5311;12749;AA;3995;12484;202131071314107BOIPHX;;
Table1a;2021;3;30713;30977;Boise, ID;Chicago, IL;10713;13232;BOI;MDW;1448;42;17503;WN;9793;17398;WN;9793;17398;202131071313232BOIMDW;;
Table1a;2021;3;30713;30977;Boise, ID;Chicago, IL;10713;13930;BOI;ORD;1448;195;21159;UA;5767;22001;AS;2153;18327;202131071313930BOIORD;;
Table1a;2021;3;30713;31703;Boise, ID;New York City, NY (Metropolitan Area);10713;11618;BOI;EWR;2167;46;32944;UA;4573;38871;DL;3626;28414;202131071311618BOIEWR;;
Table1a;2021;3;30713;31703;Boise, ID;New York City, NY (Metropolitan Area);10713;12197;BOI;HPN;2167;2;31975;UA;6000;36663;DL;3333;21860;202131071312197BOIHPN;;
Table1a;2021;3;30713;31703;Boise, ID;New York City, NY (Metropolitan Area);10713;12478;BOI;JFK;2167;96;20071;B6;6870;15194;B6;6870;15194;202131071312478BOIJFK;;
Table1a;2021;3;30713;31703;Boise, ID;New York City, NY (Metropolitan Area);10713;12953;BOI;LGA;2167;37;28309;DL;3982;29649;WN;1003;21659;202131071312953BOILGA;;
Table1a;2021;3;30713;32457;Boise, ID;San Francisco, CA (Metropolitan Area);10713;13796;BOI;OAK;523;221;12369;WN;9597;12162;WN;9597;12162;202131071313796BOIOAK;;
Table1a;2021;3;30713;32457;Boise, ID;San Francisco, CA (Metropolitan Area);10713;14771;BOI;SFO;523;249;13277;UA;6523;14212;AS;3163;10910;202131071314771BOISFO;;
Table1a;2021;3;30713;32457;Boise, ID;San Francisco, CA (Metropolitan Area);10713;14831;BOI;SJC;523;175;14022;AS;4813;14406;WN;4595;13184;202131071314831BOISJC;;
Table1a;2021;3;30713;32575;Boise, ID;Los Angeles, CA (Metropolitan Area);10713;10800;BOI;BUR;688;65;15128;WN;7383;14532;WN;7383;14532;202131071310800BOIBUR;;
Table1a;2021;3;30713;32575;Boise, ID;Los Angeles, CA (Metropolitan Area);10713;12892;BOI;LAX;688;575;12344;AS;5458;12376;AS;5458;12376;202131071312892BOILAX;;
Table1a;2021;3;30713;32575;Boise, ID;Los Angeles, CA (Metropolitan Area);10713;12954;BOI;LGB;688;34;12243;WN;7581;10954;WN;7581;10954;202131071312954BOILGB;;
Table1a;2021;3;30713;32575;Boise, ID;Los Angeles, CA (Metropolitan Area);10713;13891;BOI;ONT;688;92;16478;WN;5130;15246;WN;5130;15246;202131071313891BOIONT;;
Table1a;2021;3;30713;32575;Boise, ID;Los Angeles, CA (Metropolitan Area);10713;14908;BOI;SNA;688;254;13661;WN;7300;13201;G4;680;7675;202131071314908BOISNA;;
Table1a;2021;3;30721;30194;Boston, MA (Metropolitan Area);Dallas/Fort Worth, TX;10721;11259;BOS;DAL;1562;59;25053;WN;8404;24896;WN;8404;24896;202131072111259BOSDAL;;
Table1a;2021;3;30721;30194;Boston, MA (Metropolitan Area);Dallas/Fort Worth, TX;10721;11298;BOS;DFW;1562;1314;25952;AA;7652;27433;B6;1781;20357;202131072111298BOSDFW;;
Table1a;2021;3;30721;30194;Boston, MA (Metropolitan Area);Dallas/Fort Worth, TX;13296;11259;MHT;DAL;1562;20;27456;WN;10000;27456;WN;10000;27456;202131329611259MHTDAL;;
Table1a;2021;3;30721;30194;Boston, MA (Metropolitan Area);Dallas/Fort Worth, TX;13296;11298;MHT;DFW;1562;25;33468;AA;9185;34031;UA;644;26500;202131329611298MHTDFW;;
Table1a;2021;3;30721;30194;Boston, MA (Metropolitan Area);Dallas/Fort Worth, TX;14307;11259;PVD;DAL;1562;39;23888;WN;9003;23479;WN;9003;23479;202131430711259PVDDAL;;
Table1a;2021;3;30721;30194;Boston, MA (Metropolitan Area);Dallas/Fort Worth, TX;14307;11298;PVD;DFW;1562;60;30912;AA;6127;32297;DL;2909;29007;202131430711298PVDDFW;;
Table1a;2021;3;30721;30198;Boston, MA (Metropolitan Area);Pittsburgh, PA;10721;14122;BOS;PIT;496;523;21018;DL;4497;19152;DL;4497;19152;202131072114122BOSPIT;;
Table1a;2021;3;30721;30198;Boston, MA (Metropolitan Area);Pittsburgh, PA;13296;14122;MHT;PIT;496;20;19251;AA;5722;20585;WN;3556;16690;202131329614122MHTPIT;;
Table1a;2021;3;30721;30198;Boston, MA (Metropolitan Area);Pittsburgh, PA;14307;14122;PVD;PIT;496;32;22999;AA;5920;24741;WN;1940;18803;202131430714122PVDPIT;;
Table1a;2021;3;30721;30325;Boston, MA (Metropolitan Area);Denver, CO;10721;11292;BOS;DEN;1754;1960;27353;UA;4734;29920;WN;2224;23627;202131072111292BOSDEN;;
Table1a;2021;3;30721;30325;Boston, MA (Metropolitan Area);Denver, CO;13296;11292;MHT;DEN;1754;66;30003;WN;6361;27425;WN;6361;27425;202131329611292MHTDEN;;
Table1a;2021;3;30721;30325;Boston, MA (Metropolitan Area);Denver, CO;14307;11292;PVD;DEN;1754;108;29082;WN;3845;28650;WN;3845;28650;202131430711292PVDDEN;;
Table1a;2021;3;30721;30466;Boston, MA (Metropolitan Area);Phoenix, AZ;10721;14107;BOS;PHX;2300;995;27755;AA;5577;29178;B6;2952;24078;202131072114107BOSPHX;;
Table1a;2021;3;30721;30466;Boston, MA (Metropolitan Area);Phoenix, AZ;13296;14107;MHT;PHX;2300;49;30346;WN;5673;27408;WN;5673;27408;202131329614107MHTPHX;;
Table1a;2021;3;30721;30466;Boston, MA (Metropolitan Area);Phoenix, AZ;14307;14107;PVD;PHX;2300;85;31616;AA;3882;34812;WN;3470;29113;202131430714107PVDPHX;;
Table1a;2021;3;30721;30559;Boston, MA (Metropolitan Area);Seattle, WA;10721;14747;BOS;SEA;2496;1483;30352;DL;3738;29472;DL;3738;29472;202131072114747BOSSEA;;
Table1a;2021;3;30721;30559;Boston, MA (Metropolitan Area);Seattle, WA;13296;14747;MHT;SEA;2496;17;32941;AA;5096;33129;AA;5096;33129;202131329614747MHTSEA;;
Table1a;2021;3;30721;30559;Boston, MA (Metropolitan Area);Seattle, WA;14307;14747;PVD;SEA;2496;48;35278;AA;3348;36636;WN;1765;32678;202131430714747PVDSEA;;
Table1a;2021;3;30721;30647;Boston, MA (Metropolitan Area);Cleveland, OH (Metropolitan Area);10721;10874;BOS;CAK;563;6;21354;AA;6780;21706;UA;2881;21104;202131072110874BOSCAK;;
Table1a;2021;3;30721;30647;Boston, MA (Metropolitan Area);Cleveland, OH (Metropolitan Area);10721;11042;BOS;CLE;563;564;17760;B6;4678;17401;DL;4331;17374;202131072111042BOSCLE;;
Table1a;2021;3;30721;30647;Boston, MA (Metropolitan Area);Cleveland, OH (Metropolitan Area);13296;10874;MHT;CAK;563;2;26463;UA;7368;26507;AA;2632;26340;202131329610874MHTCAK;;
Table1a;2021;3;30721;30647;Boston, MA (Metropolitan Area);Cleveland, OH (Metropolitan Area);13296;11042;MHT;CLE;563;17;20936;WN;4605;19657;WN;4605;19657;202131329611042MHTCLE;;
Table1a;2021;3;30721;30647;Boston, MA (Metropolitan Area);Cleveland, OH (Metropolitan Area);14307;10874;PVD;CAK;563;3;28293;AA;7308;29195;UA;2692;25847;202131430710874PVDCAK;;
Table1a;2021;3;30721;30647;Boston, MA (Metropolitan Area);Cleveland, OH (Metropolitan Area);14307;11042;PVD;CLE;563;24;23667;AA;3779;26370;WN;3088;18173;202131430711042PVDCLE;;
Table1a;2021;3;30721;30693;Boston, MA (Metropolitan Area);Nashville, TN;10721;10693;BOS;BNA;942;996;20454;DL;3551;21931;WN;3120;18874;202131072110693BOSBNA;;
Table1a;2021;3;30721;30693;Boston, MA (Metropolitan Area);Nashville, TN;13296;10693;MHT;BNA;942;38;24891;WN;5156;21870;WN;5156;21870;202131329610693MHTBNA;;
Table1a;2021;3;30721;30693;Boston, MA (Metropolitan Area);Nashville, TN;14307;10693;PVD;BNA;942;80;22995;WN;4402;21222;WN;4402;21222;202131430710693PVDBNA;;
Table1a;2021;3;30721;30792;Boston, MA (Metropolitan Area);Buffalo, NY;10721;10792;BOS;BUF;395;209;19161;B6;7930;18751;B6;7930;18751;202131072110792BOSBUF;;
Table1a;2021;3;30721;30792;Boston, MA (Metropolitan Area);Buffalo, NY;13296;10792;MHT;BUF;395;8;25017;WN;4714;25883;UA;1286;23267;202131329610792MHTBUF;;
Table1a;2021;3;30721;30792;Boston, MA (Metropolitan Area);Buffalo, NY;14307;10792;PVD;BUF;395;11;25317;AA;5556;24911;DL;1313;23315;202131430710792PVDBUF;;
Table1a;2021;3;30721;30849;Boston, MA (Metropolitan Area);Bozeman, MT;10721;10849;BOS;BZN;1991;188;29051;B6;3358;31687;AA;2382;23932;202131072110849BOSBZN;;
Table1a;2021;3;30721;30849;Boston, MA (Metropolitan Area);Bozeman, MT;13296;10849;MHT;BZN;1991;9;28987;AA;5647;26973;AA;5647;26973;202131329610849MHTBZN;;
Table1a;2021;3;30721;30849;Boston, MA (Metropolitan Area);Bozeman, MT;14307;10849;PVD;BZN;1991;12;31069;AA;4107;30200;AA;4107;30200;202131430710849PVDBZN;;
Table1a;2021;3;30721;30852;Boston, MA (Metropolitan Area);Washington, DC (Metropolitan Area);10721;10821;BOS;BWI;418;631;17619;WN;9909;17584;WN;9909;17584;202131072110821BOSBWI;;
Table1a;2021;3;30721;30852;Boston, MA (Metropolitan Area);Washington, DC (Metropolitan Area);10721;11278;BOS;DCA;418;1945;16698;AA;4724;17414;DL;1992;15466;202131072111278BOSDCA;;
Table1a;2021;3;30721;30852;Boston, MA (Metropolitan Area);Washington, DC (Metropolitan Area);10721;12264;BOS;IAD;418;330;18815;UA;9845;18808;UA;9845;18808;202131072112264BOSIAD;;
Table1a;2021;3;30721;30852;Boston, MA (Metropolitan Area);Washington, DC (Metropolitan Area);13296;10821;MHT;BWI;418;239;17193;WN;9932;17156;WN;9932;17156;202131329610821MHTBWI;;
Table1a;2021;3;30721;30852;Boston, MA (Metropolitan Area);Washington, DC (Metropolitan Area);13296;11278;MHT;DCA;418;109;20280;AA;9870;20280;AA;9870;20280;202131329611278MHTDCA;;
Table1a;2021;3;30721;30852;Boston, MA (Metropolitan Area);Washington, DC (Metropolitan Area);13296;12264;MHT;IAD;418;63;19921;UA;9810;19999;UA;9810;19999;202131329612264MHTIAD;;
Table1a;2021;3;30721;30852;Boston, MA (Metropolitan Area);Washington, DC (Metropolitan Area);14307;10821;PVD;BWI;418;227;19003;WN;9995;18999;WN;9995;18999;202131430710821PVDBWI;;
Table1a;2021;3;30721;30852;Boston, MA (Metropolitan Area);Washington, DC (Metropolitan Area);14307;11278;PVD;DCA;418;183;22509;AA;9947;22543;AA;9947;22543;202131430711278PVDDCA;;
Table1a;2021;3;30721;30852;Boston, MA (Metropolitan Area);Washington, DC (Metropolitan Area);14307;12264;PVD;IAD;418;58;24061;UA;9869;23970;UA;9869;23970;202131430712264PVDIAD;;
Table1a;2021;3;30721;30977;Boston, MA (Metropolitan Area);Chicago, IL;10721;13232;BOS;MDW;867;422;18732;WN;9742;18787;DL;227;16581;202131072113232BOSMDW;;
Table1a;2021;3;30721;30977;Boston, MA (Metropolitan Area);Chicago, IL;10721;13930;BOS;ORD;867;2433;19846;UA;3256;21668;B6;1752;17358;202131072113930BOSORD;;
Table1a;2021;3;30721;30977;Boston, MA (Metropolitan Area);Chicago, IL;13296;13232;MHT;MDW;867;97;20315;WN;10000;20315;WN;10000;20315;202131329613232MHTMDW;;
Table1a;2021;3;30721;30977;Boston, MA (Metropolitan Area);Chicago, IL;13296;13930;MHT;ORD;867;83;26333;AA;9215;26607;WN;510;23336;202131329613930MHTORD;;
Table1a;2021;3;30721;30977;Boston, MA (Metropolitan Area);Chicago, IL;14307;13232;PVD;MDW;867;110;21259;WN;9793;21243;WN;9793;21243;202131430713232PVDMDW;;
Table1a;2021;3;30721;30977;Boston, MA (Metropolitan Area);Chicago, IL;14307;13930;PVD;ORD;867;214;26531;AA;7011;27010;UA;2374;25501;202131430713930PVDORD;;
Table1a;2021;3;30721;30994;Boston, MA (Metropolitan Area);Charleston, SC;10721;10994;BOS;CHS;836;544;19416;B6;4911;19214;B6;4911;19214;202131072110994BOSCHS;;
Table1a;2021;3;30721;30994;Boston, MA (Metropolitan Area);Charleston, SC;13296;10994;MHT;CHS;836;25;19917;WN;5628;18375;UA;1039;16506;202131329610994MHTCHS;;
Table1a;2021;3;30721;30994;Boston, MA (Metropolitan Area);Charleston, SC;14307;10994;PVD;CHS;836;48;23333;AA;4205;23665;WN;2864;21807;202131430710994PVDCHS;;
Table1a;2021;3;30721;31057;Boston, MA (Metropolitan Area);Charlotte, NC;10721;11057;BOS;CLT;737;1086;18310;AA;7473;18638;B6;2226;16635;202131072111057BOSCLT;;
Table1a;2021;3;30721;31057;Boston, MA (Metropolitan Area);Charlotte, NC;13296;11057;MHT;CLT;737;121;22659;AA;9108;23017;UA;216;18208;202131329611057MHTCLT;;
Table1a;2021;3;30721;31057;Boston, MA (Metropolitan Area);Charlotte, NC;14307;11057;PVD;CLT;737;209;22808;AA;9006;23218;F9;135;5904;202131430711057PVDCLT;;
Table1a;2021;3;30721;31066;Boston, MA (Metropolitan Area);Columbus, OH;10721;11066;BOS;CMH;640;362;21812;DL;6658;23113;AA;2538;18469;202131072111066BOSCMH;;
Table1a;2021;3;30721;31066;Boston, MA (Metropolitan Area);Columbus, OH;13296;11066;MHT;CMH;640;27;22429;WN;5410;20124;WN;5410;20124;202131329611066MHTCMH;;
Table1a;2021;3;30721;31066;Boston, MA (Metropolitan Area);Columbus, OH;14307;11066;PVD;CMH;640;37;25586;AA;3947;27242;WN;3412;21265;202131430711066PVDCMH;;
Table1a;2021;3;30721;31123;Boston, MA (Metropolitan Area);St. Louis, MO;10721;15016;BOS;STL;1047;379;26223;WN;6727;26142;AA;1694;25362;202131072115016BOSSTL;;
Table1a;2021;3;30721;31123;Boston, MA (Metropolitan Area);St. Louis, MO;13296;15016;MHT;STL;1047;36;27457;WN;5957;26915;WN;5957;26915;202131329615016MHTSTL;;
Table1a;2021;3;30721;31123;Boston, MA (Metropolitan Area);St. Louis, MO;14307;15016;PVD;STL;1047;49;24867;WN;4600;23705;WN;4600;23705;202131430715016PVDSTL;;
Table1a;2021;3;30721;31135;Boston, MA (Metropolitan Area);Myrtle Beach, SC;10721;13577;BOS;MYR;756;302;12182;NK;7212;8944;NK;7212;8944;202131072113577BOSMYR;;
Table1a;2021;3;30721;31135;Boston, MA (Metropolitan Area);Myrtle Beach, SC;13296;13577;MHT;MYR;756;26;20529;WN;4896;18590;WN;4896;18590;202131329613577MHTMYR;;
Table1a;2021;3;30721;31135;Boston, MA (Metropolitan Area);Myrtle Beach, SC;14307;13577;PVD;MYR;756;46;16542;AA;3222;20939;F9;3103;7210;202131430713577PVDMYR;;
Table1a;2021;3;30721;31136;Boston, MA (Metropolitan Area);Jacksonville, FL;10721;12451;BOS;JAX;1028;571;17619;B6;4977;16715;B6;4977;16715;202131072112451BOSJAX;;
Table1a;2021;3;30721;31136;Boston, MA (Metropolitan Area);Jacksonville, FL;13296;12451;MHT;JAX;1028;28;22005;WN;5257;20476;WN;5257;20476;202131329612451MHTJAX;;
Table1a;2021;3;30721;31136;Boston, MA (Metropolitan Area);Jacksonville, FL;14307;12451;PVD;JAX;1028;57;21687;AA;4583;24235;WN;2803;19122;202131430712451PVDJAX;;
Table1a;2021;3;30721;31295;Boston, MA (Metropolitan Area);Detroit, MI;10721;11433;BOS;DTW;632;970;19058;DL;7583;19524;B6;1950;17076;202131072111433BOSDTW;;
Table1a;2021;3;30721;31295;Boston, MA (Metropolitan Area);Detroit, MI;13296;11433;MHT;DTW;632;20;22095;AA;6000;23217;WN;3278;20051;202131329611433MHTDTW;;
Table1a;2021;3;30721;31295;Boston, MA (Metropolitan Area);Detroit, MI;14307;11433;PVD;DTW;632;108;24201;DL;8960;24347;WN;374;20727;202131430711433PVDDTW;;
Table1a;2021;3;30721;31453;Boston, MA (Metropolitan Area);Houston, TX;10721;12191;BOS;HOU;1609;77;25475;WN;7333;24527;WN;7333;24527;202131072112191BOSHOU;;
Table1a;2021;3;30721;31453;Boston, MA (Metropolitan Area);Houston, TX;10721;12266;BOS;IAH;1609;856;26994;UA;6961;28762;B6;1589;22477;202131072112266BOSIAH;;
Table1a;2021;3;30721;31453;Boston, MA (Metropolitan Area);Houston, TX;13296;12191;MHT;HOU;1609;17;27883;WN;9874;27812;WN;9874;27812;202131329612191MHTHOU;;
Table1a;2021;3;30721;31453;Boston, MA (Metropolitan Area);Houston, TX;13296;12266;MHT;IAH;1609;16;30240;AA;5455;29837;WN;1189;24476;202131329612266MHTIAH;;
Table1a;2021;3;30721;31453;Boston, MA (Metropolitan Area);Houston, TX;14307;12191;PVD;HOU;1609;38;26467;WN;8473;25147;WN;8473;25147;202131430712191PVDHOU;;
Table1a;2021;3;30721;31453;Boston, MA (Metropolitan Area);Houston, TX;14307;12266;PVD;IAH;1609;41;30638;AA;4000;28866;DL;2526;28549;202131430712266PVDIAH;;
Table1a;2021;3;30721;31454;Boston, MA (Metropolitan Area);Orlando, FL;10721;13204;BOS;MCO;1142;2730;16827;B6;4080;19133;NK;1267;9695;202131072113204BOSMCO;;
Table1a;2021;3;30721;31454;Boston, MA (Metropolitan Area);Orlando, FL;13296;13204;MHT;MCO;1142;263;20343;WN;9272;19788;WN;9272;19788;202131329613204MHTMCO;;
Table1a;2021;3;30721;31454;Boston, MA (Metropolitan Area);Orlando, FL;14307;13204;PVD;MCO;1142;848;17434;WN;5296;19113;F9;1360;9788;202131430713204PVDMCO;;
Table1a;2021;3;30721;31650;Boston, MA (Metropolitan Area);Minneapolis/St. Paul, MN;10721;13487;BOS;MSP;1124;1277;21160;DL;6584;23642;SY;1863;13056;202131072113487BOSMSP;;
Table1a;2021;3;30721;31650;Boston, MA (Metropolitan Area);Minneapolis/St. Paul, MN;13296;13487;MHT;MSP;1124;24;23991;WN;6221;21582;WN;6221;21582;202131329613487MHTMSP;;
Table1a;2021;3;30721;31650;Boston, MA (Metropolitan Area);Minneapolis/St. Paul, MN;14307;13487;PVD;MSP;1124;148;16469;SY;5437;11202;SY;5437;11202;202131430713487PVDMSP;;
Table1a;2021;3;30721;31703;Boston, MA (Metropolitan Area);New York City, NY (Metropolitan Area);10721;11618;BOS;EWR;200;558;15393;UA;7384;16335;B6;1758;14710;202131072111618BOSEWR;;
Table1a;2021;3;30721;31703;Boston, MA (Metropolitan Area);New York City, NY (Metropolitan Area);10721;12197;BOS;HPN;200;0;49150;B6;10000;49150;B6;10000;49150;202131072112197BOSHPN;;
Table1a;2021;3;30721;31703;Boston, MA (Metropolitan Area);New York City, NY (Metropolitan Area);10721;12391;BOS;ISP;200;1;24300;AA;10000;24300;AA;10000;24300;202131072112391BOSISP;;
Table1a;2021;3;30721;31703;Boston, MA (Metropolitan Area);New York City, NY (Metropolitan Area);10721;12478;BOS;JFK;200;228;20888;B6;4704;18692;B6;4704;18692;202131072112478BOSJFK;;
Table1a;2021;3;30721;31703;Boston, MA (Metropolitan Area);New York City, NY (Metropolitan Area);10721;12953;BOS;LGA;200;512;18595;DL;5657;19754;AA;4024;17290;202131072112953BOSLGA;;
Table1a;2021;3;30721;31703;Boston, MA (Metropolitan Area);New York City, NY (Metropolitan Area);13296;12391;MHT;ISP;200;0;26020;AA;10000;26020;AA;10000;26020;202131329612391MHTISP;;
Table1a;2021;3;30721;31703;Boston, MA (Metropolitan Area);New York City, NY (Metropolitan Area);14307;11618;PVD;EWR;200;6;28035;UA;10000;28035;UA;10000;28035;202131430711618PVDEWR;;
Table1a;2021;3;30721;31714;Boston, MA (Metropolitan Area);Fort Myers, FL;10721;14635;BOS;RSW;1271;728;21225;B6;7228;21053;AA;1053;20576;202131072114635BOSRSW;;
Table1a;2021;3;30721;31714;Boston, MA (Metropolitan Area);Fort Myers, FL;13296;14635;MHT;RSW;1271;42;21022;WN;5221;19969;WN;5221;19969;202131329614635MHTRSW;;
Table1a;2021;3;30721;31714;Boston, MA (Metropolitan Area);Fort Myers, FL;14307;14635;PVD;RSW;1271;100;20841;WN;4978;19386;WN;4978;19386;202131430714635PVDRSW;;
Table1a;2021;3;30721;32211;Boston, MA (Metropolitan Area);Las Vegas, NV;10721;12889;BOS;LAS;2381;1127;29101;B6;5339;30957;DL;2724;30756;202131072112889BOSLAS;;
Table1a;2021;3;30721;32211;Boston, MA (Metropolitan Area);Las Vegas, NV;13296;12889;MHT;LAS;2381;37;29879;WN;6549;26414;WN;6549;26414;202131329612889MHTLAS;;
Table1a;2021;3;30721;32211;Boston, MA (Metropolitan Area);Las Vegas, NV;14307;12889;PVD;LAS;2381;75;29619;WN;3718;28422;WN;3718;28422;202131430712889PVDLAS;;
